season,team,playoffs,age,Strength of Schedule,o_rtg,d_rtg,pace,f_tr,3pt Attempt Rate,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,attend_g
2024,Dallas Mavericks,TRUE,26.5,0.09,117.6,115.4,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,20217
2024,Denver Nuggets,TRUE,27.1,-0.03,118.5,113,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,19684
2024,Detroit Pistons,FALSE,23.8,0.05,109.7,118.8,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,18159
2024,Golden State Warriors,FALSE,28.4,0.16,117.8,115.2,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,18064
2024,Houston Rockets,FALSE,25.1,0.12,114.5,113.4,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,0.533,12.2,76,0.219,17562
2024,Indiana Pacers,TRUE,25.3,-0.3,121,118,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,16526
2024,Los Angeles Clippers,TRUE,30.4,0.13,118.8,115.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,18946
2024,Los Angeles Lakers,TRUE,28,0.48,115.9,115.3,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,18925
2024,Memphis Grizzlies,FALSE,24.4,0.43,107.2,114.3,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,16631
2024,Miami Heat,TRUE,28,-0.66,114,112.2,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,19750
2024,Milwaukee Bucks,TRUE,30.2,-0.18,118.4,115.8,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,17659
2024,Minnesota Timberwolves,TRUE,27.2,-0.07,115.6,109,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197,18024
2024,New Orleans Pelicans,TRUE,26,0.05,117.4,112.9,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,17301
2024,New York Knicks,TRUE,26.4,-0.23,118.2,113.4,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,19729
2024,Oklahoma City Thunder,TRUE,23.4,-0.05,119.5,112.1,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,17451
2024,Orlando Magic,TRUE,24,-0.55,113.4,111.3,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,18849
2024,Philadelphia 76ers,TRUE,28.4,-0.54,116.9,113.8,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,20042
2024,Phoenix Suns,TRUE,29.3,0.02,117.6,114.6,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,17071
2024,Portland Trail Blazers,FALSE,24.1,0.74,108.3,117.5,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,18327
2024,Sacramento Kings,FALSE,26.4,0.55,116.9,115.2,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,17927
2024,San Antonio Spurs,FALSE,23,0.69,110,116.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,18211
2024,Toronto Raptors,FALSE,25.9,-0.01,112.3,118.8,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,19515
2024,Utah Jazz,FALSE,25.1,0.68,115.5,120.4,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,18206
2024,Washington Wizards,FALSE,24.9,0,110.5,119.6,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,16899
2023,Atlanta Hawks,TRUE,24.9,0.02,116.6,116.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,17556
